<ul style="list-style-type:none">
<li>MERE	tu m(e) les rends quand même Théophile ?</li>
<li>THEOPHILE	0 .</li>
<li>act	THEOPHILE se rend compte que les clés sont sous son pied.</li>
<li>THEOPHILE	clés !</li>
<li>pho	[kle]</li>
<li>act	THEOPHILE prends les clés sur le sol.</li>
<li>add:	PERE</li>
<li>THEOPHILE	les clés !</li>
<li>pho	[le kle]</li>
<li>add	PERE.</li>
<li>PERE	ah oui .</li>
<li>THEOPHILE	les clés !</li>
<li>pho	[le kle]</li>
<li>THEOPHILE	clés !</li>
<li>pho	[kle]</li>
<li>act	THEOPHILE se lève.</li>
<li>THEOPHILE	e@fs clés e@fs clés !</li>
<li>pho	[e kle e kle]</li>
<li>act	THEOPHILE tend les clés vers son père tout en marchant vers lui.</li>
<li>THEOPHILE	e@fs <clés> [>] !</li>
<li>pho	[e kle]</li>
<li>act	THEOPHILE donne les clés à son père.</li>
<li>PERE	<merci> [<] Théophile .</li>
<li>act	Son PERE prend les clés.</li>
</ul>
